Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Otros agrícola|Otros pecuario|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Armenia|0.17111389|0.14248478|0.099412248|0.48906311|0.15361901|0.096106172|0.091859825|0.16746204|0.15994915|0.1526891|0.16975795|0.1497308|0.14166152|0.1269677|0.17499393|0.19675012|0.15990643|0.14202175|0.17109722|0.13904956|0.10664514|0.92514348|0.094311118|0.55840677|0.42933622|0.082559541|0.16080165|0.17194919|0.16036402|0.12251634|0.075881012|0.1260623|0.15349111|0.15090986|0.089447238|0.10040475|0.18733408|0.099604346|0.08416684|0.14525002
Aruba|0.68894958|0.78967285|0.72788996|0.52071291|0.80249047|0.74036473|0.75637102|0.76656872|0.81424105|0.6782518|0.83401656|0.36830235|0.68146682|0.45011315|0.73910582|0.73646766|0.72645175|0.61765957|0.75707555|0.72852498|0.73336369|0.81999218|0.68911445|0.63511395|0.69122881|0.72626138|0.55052811|0.95073688|0.82714808|0.76354027|0.73800254|0.80862987|0.82716405|0.75143445|0.75799608|0.68169463|0.43627656|0.708947|0.78525639|0.77811331
Australia|0.5279597|0.010621188|0.5781275|0.52746177|0.56968898|0.54981959|0.58323777|0.053927638|0.61688399|0.51198196|0.76592112|0.044734426|0.58882868|0.74758506|0.47345752|0.031427927|0.5887782|0.50081491|0.057680517|0.69461221|0.39276931|0.58611619|0.62138283|0.690602|0.66391623|0.4751648|0.4705728|0.054226927|0.81592476|0.33549613|0.38451374|0.58741623|0.72304225|0.0071550393|0.5535444|0.41702551|0.064757667|0.61468536|0.53687525|0.51485264
Austria|0.54380792|0.73077714|0.76722026|0.34074226|0.36796042|0.41094428|0.66194689|0.45392427|0.37246659|0.3787775|0.92203391|0.40636897|0.61957836|0.51709253|0.40234157|0.42791021|0.37530336|0.65012705|0.45456436|0.60460865|0.71075106|0.50977582|0.50714946|0.70359743|0.48656422|0.66248918|0.62562346|0.41984063|0.65331221|0.45498306|0.70179713|0.4346832|0.36170277|0.38307753|0.59435326|0.60187376|0.49190599|0.48105976|0.51998878|0.72554791
Azerbaiyán|0.15687519|0.13033538|0.09388113|0.14544527|0.1414458|0.12413318|0.38514787|0.15547393|0.1477326|0.14051196|0.15981977|0.13961732|0.13402073|0.11709124|0.16512722|0.1846877|0.15006879|0.12978518|0.15911791|0.12924223|0.16169709|0.14645872|0.55607939|0.64066541|0.41834131|0.46429902|0.14874098|0.15981558|0.14807487|0.11484366|0.44030231|0.11607344|0.14348063|0.13870129|0.15136755|0.53301466|0.17500514|0.079516247|0.41247833|0.13296188
Bahamas|0.66486174|0.39661425|0.40740189|0.82619667|0.71751595|0.6925534|0.76607144|0.48349118|0.80688143|0.40875804|0.45260519|0.48998177|0.39522034|0.37476885|0.74440426|0.40591842|0.74080998|0.81272078|0.51519704|0.36989763|0.41346836|0.70027697|0.53840476|0.57015628|0.36253065|0.76974642|0.58269906|0.48791382|0.66317922|0.78360128|0.73102975|0.76595569|0.39967203|0.43622124|0.44086444|0.7242167|0.56233782|0.608594|0.70707959|0.76193583
Bahréin|0.13204592|0.10503772|0.6021077|0.061255224|0.11831736|0.62512827|0.5082351|0.12618618|0.66620338|0.56398529|0.12994303|0.11817201|0.65079582|0.45258749|0.13771164|0.15293017|0.51103735|0.10422044|0.12985712|0.48342574|0.1360143|0.12030609|0.73658645|0.68341368|0.6113075|0.42378342|0.12371519|0.13008201|0.1245911|0.58221257|0.39305556|0.59003353|0.11562447|0.048213001|0.12845403|0.34427965|0.14467308|0.37359154|0.39814138|0.11396557
Bangladesh|0.06145592|0.041897003|0.31957847|0.047327697|0.015096379|0.44898441|0.84855878|0.048953462|0.058421228|0.044986304|0.055284172|0.039528634|0.048140585|0.042506035|0.021119799|0.074959055|0.05356722|0.01238502|0.052711889|0.042103127|0.018023435|0.017321907|0.01363177|0.034132898|0.041448757|0.54753792|0.018338822|0.049161069|0.017230006|0.41320407|0.31305328|0.70050609|0.051457658|0.042767502|0.045594517|0.022894014|0.059568733|0.38709551|0.39118892|0.016097588
Barbados|0.64900029|0.68705839|0.78112769|0.5937264|0.70122558|0.76066113|0.82981622|0.49864489|0.65003788|0.42656749|0.44207639|0.50818181|0.58072674|0.39245027|0.66595483|0.59552097|0.69156688|0.76265502|0.53033149|0.7370882|0.78726792|0.86577296|0.59618258|0.33454406|0.66975987|0.80679542|0.44860011|0.50338584|0.77958763|0.77185714|0.69573545|0.71313733|0.4109202|0.45185721|0.74468362|0.76874924|0.57823718|0.70076668|0.65323478|0.73935044
Belice|0.41324395|0.39943004|0.4938418|0.75228149|0.58430326|0.75082123|0.65214741|0.48620838|0.34108675|0.4138329|0.45543984|0.49516577|0.75026894|0.3775658|0.44008493|0.41092318|0.62365735|0.53529835|0.51790887|0.71404111|0.55453688|0.756464|0.88125873|0.32643652|0.68562949|0.79080606|0.43604922|0.49071991|0.83261794|0.73233807|0.78864807|0.7387808|0.40255091|0.43907315|0.44365185|0.78962505|0.56526327|0.65087712|0.6310997|0.62197709
Benín|0.29445916|0.27966321|0.63087177|0.25316432|0.28223714|0.22690645|0.24762636|0.30635786|0.27361566|0.27464849|0.30298263|0.27475211|0.26497006|0.2389544|0.300266|0.32570967|0.27346885|0.58177423|0.30984205|0.25433451|0.29312736|0.73390222|0.25585824|0.21164779|0.25551215|0.20728235|0.29645795|0.31558311|0.28872919|0.51219517|0.17439595|0.25118813|0.22604518|0.28237632|0.2886433|0.23098013|0.33656082|0.23235977|0.2222697|0.23165646
Bermudas|0.34525877|0.33473614|0.21872339|0.31344765|0.33762634|0.27848458|0.30158773|0.37049842|0.33630711|0.33681661|0.36967725|0.33480752|0.31972|0.30482906|0.36601093|0.3953217|0.33434302|0.39221907|0.38059211|0.31256407|0.35659683|0.34842193|0.3191449|0.27485546|0.31228083|0.34546891|0.36156267|0.38389906|0.35462773|0.37789384|0.28523055|0.38137802|0.32422167|0.35168791|0.35879555|0.36735576|0.40971422|0.28292528|0.26933891|0.30437523
Bielorrusia|0.23770106|0.21473305|0.15007173|0.15579724|0.21932405|0.15243858|0.16583444|0.24967943|0.22822997|0.531326|0.24672861|0.22356674|0.21148053|0.18776825|0.18214467|0.1675926|0.22265007|0.20821455|0.25324684|0.20156002|0.17148796|0.17394677|0.20556468|0.63738716|0.39315319|0.14389558|0.23685117|0.25304449|0.23144603|0.12477579|0.11269128|0.49904567|0.2198077|0.61511362|0.23760428|0.1342143|0.27217513|0.1146362|0.41817439|0.16306481
Bolivia|0.50966656|0.46379656|0.47771627|0.5616321|0.51769966|0.50471044|0.52667421|0.56623399|0.42566532|0.48120284|0.56410921|0.57891178|0.49435949|0.37196502|0.55702794|0.60122418|0.55135357|0.52343869|0.55572557|0.45735449|0.56410229|0.45416743|0.57431495|0.41151723|0.47512701|0.52376294|0.56415308|0.54788053|0.574938|0.52574885|0.46423274|0.53228951|0.54367298|0.58503681|0.56188589|0.50763428|0.61553448|0.50028276|0.41519597|0.5451414
Bosnia|0.26281172|0.24260904|0.48074871|0.22699115|0.65283233|0.7272929|0.16810943|0.27251911|0.49357921|0.24191117|0.26798397|0.24093775|0.23254687|0.20657027|0.19659822|0.21859017|0.24131913|0.17974937|0.27605641|0.22460975|0.19433117|0.25090358|0.2248551|0.72272968|0.17499885|0.16685665|0.25993919|0.27638209|0.19552408|0.17203476|0.13651884|0.1705391|0.23906839|0.24944958|0.19511507|0.18907082|0.2961812|0.16064459|0.15162453|0.19087866
Botsuana|0.21306416|0.19190733|0.13142532|0.18491696|0.19194692|0.16497153|0.17900532|0.22282413|0.20521496|0.20224702|0.21933137|0.1979174|0.18648118|0.16502929|0.2264608|0.24799037|0.19777849|0.1851431|0.22641636|0.17901601|0.21728149|0.20967104|0.18018122|0.15156811|0.17274539|0.13661067|0.20979129|0.22577897|0.20598412|0.16973372|0.11500907|0.17588311|0.19220659|0.2006209|0.2104249|0.1789535|0.24435896|0.17601535|0.88336778|0.18862297
Brasil|0.84123027|0.55144966|0.70790803|0.95185685|0.77118671|0.77991116|0.7043609|0.52295154|0.39894608|0.4523595|0.45821002|0.55088198|0.6127637|0.61684561|0.75648582|0.74291319|0.77463692|0.65714169|0.49465221|0.65249455|0.71465075|0.67418051|0.80878448|0.74023426|0.71044058|0.69913292|0.69870985|0.52795804|0.80949783|0.75202841|0.78031933|0.74259019|0.75011688|0.92473656|0.93874764|1.0|0.61201215|0.87260085|0.70369625|0.68019915
Brunéi|0.02598899|0.016847733|0.012058002|0.0025150978|0.029767338|0.4602558|0.024319205|0.018014563|0.026297182|0.010824456|0.027832303|0.013409373|0.023217443|0.024342928|0.014766246|0.045876853|0.017668454|0.021438442|0.019576494|0.019814428|0.027985839|0.027895225|0.02260682|0.011651379|0.018855006|0.58503103|0.027898833|0.01522515|0.027560558|0.55296773|0.53510654|0.014553815|0.019146293|0.019653581|0.018543534|0.030515082|0.026861575|0.018934827|0.0044564009|0.021434795
Bulgaria|0.38263962|0.67524713|0.56718308|0.63645214|0.55465728|0.62169564|0.29882327|0.4070735|0.71565354|0.75150394|0.3847304|0.35526669|0.35279119|0.64235985|0.38425285|0.39820671|0.35343683|0.55216205|0.41448817|0.4782517|0.55680513|0.36048621|0.32381028|0.62738627|0.52238816|0.40710437|0.37113714|0.43493655|0.58541906|0.48972368|0.48204714|0.49497759|0.33671492|0.39382428|0.37299088|0.28311804|0.44543403|0.28596416|0.61959553|0.71165711
Burkina Faso|0.2652559|0.28807682|0.47544611|0.26167616|0.25044256|0.23515061|0.25395077|0.31896588|0.28214994|0.28535414|0.31593612|0.2835364|0.2755821|0.24955481|0.31309104|0.34069335|0.28624159|0.2690863|0.32467636|0.26705283|0.30400905|0.29183018|0.26895735|0.22219074|0.22449467|0.23929025|0.30919635|0.32845262|0.3018783|0.24807271|0.56940824|0.26199061|0.27861828|0.2953805|0.30145791|0.24389932|0.34978142|0.24077025|0.23117128|0.74288434
Burundi|0.19310115|0.16482377|0.11527366|0.17114542|0.17377062|0.11822826|0.12219235|0.19391425|0.18244261|0.17957623|0.19441023|0.17478645|0.16170242|0.14475156|0.20620823|0.22337325|0.17760091|0.1160818|0.19752917|0.1589165|0.19660035|0.18635243|0.15729341|0.13137281|0.15249431|0.12804987|0.18517864|0.19649398|0.18302456|0.14487277|0.61665678|0.1485891|0.1738255|0.17562705|0.18570298|0.15408161|0.21457043|0.15117842|0.1370299|0.16790819
Bután|0.068972602|0.045083128|0.036479086|0.052810922|0.058150146|0.019856727|0.027341641|0.056461684|0.063917026|0.050442472|0.060743548|0.047406469|0.053544417|0.045661189|0.066908523|0.080299832|0.058925472|0.045729384|0.060211256|0.047430914|0.063726172|0.055616725|0.011155954|0.037255898|0.046835676|0.02051444|0.064553238|0.056815609|0.054419432|0.015062027|0.043846741|0.045536939|0.056989748|0.050497405|0.010184604|0.034239501|0.067419693|0.044917289|0.044526171|0.05277165
Bélgica|0.67043036|0.62198544|0.5857591|0.61294281|0.73034739|0.58658487|0.67522287|0.39905789|0.84762597|0.975371|0.67423153|0.42111951|0.8098613|0.87637734|0.41146696|0.62705255|0.70242357|0.54170674|0.46366709|0.67935818|0.61496025|0.62026548|0.63841772|0.55052793|0.79015994|0.67277551|0.39867657|0.43112504|0.68888229|0.55621499|0.59041685|0.56421375|0.80591452|0.38562095|0.54269302|0.59046632|0.50657392|0.61714059|0.46516109|0.58686781
Cabo Verde|0.33687764|0.32559693|0.7695049|0.3017953|0.32836908|0.24766797|0.28530011|0.36215907|0.66058302|0.32753974|0.36038467|0.32464552|0.69255632|0.2913582|0.35707283|0.38437176|0.32554913|0.30717564|0.37005427|0.30392039|0.34459212|0.33789897|0.30720842|0.26602745|0.30334553|0.26639053|0.35286349|0.3748382|0.34479544|0.46139491|0.21482469|0.54137069|0.31457046|0.3400133|0.34540182|0.26804373|0.39744258|0.27155256|0.24540046|0.30723384
Camboya|0.031184301|0.019939208|0.61673868|0.020651519|0.0046399105|0.0|0.007445849|0.020960087|0.029449407|0.013941039|0.03095175|0.01668746|0.010456838|0.67615223|0.0075937267|0.021367852|0.020696927|0.5918346|0.022514064|0.022815492|0.01255475|0.011774578|0.028041728|0.01468607|0.58784097|0.0|0.030910023|0.018302333|0.0059930761|0.0030479168|0.013027902|0.0|0.024573339|0.022798566|0.023835231|0.013864144|0.030115506|0.0059557082|0.29365438|0.63477021
Camerún|0.75238568|0.25297534|0.32377338|0.55322385|0.25319892|0.4210189|0.5052073|0.28040308|0.24886476|0.25007665|0.27615416|0.249369|0.24287696|0.21464857|0.2737624|0.30165935|0.2493396|0.23343199|0.28392726|0.23258509|0.22752997|0.59994|0.67194569|0.37552115|0.22676903|0.34854639|0.27017337|0.28448269|0.26140609|0.22189173|0.74756491|0.18602632|0.20216866|0.25766179|0.26216605|0.36483055|0.30457264|0.18900646|0.17081298|0.44514847
Canadá|0.73680168|0.83591199|0.74519777|0.68288887|0.7337938|0.65083385|0.74592352|0.47821242|0.86060476|0.76920092|0.79267144|0.47057149|0.75567484|0.90080607|0.67954725|0.59793508|0.73005855|0.71706331|0.46680102|0.81619388|0.72396541|0.78730881|0.7999261|0.84569502|0.81633514|0.69575846|0.68009025|0.7714256|0.73522592|0.62212449|0.75134355|0.71972948|0.87980878|0.75965106|0.63565969|0.74754494|0.43897483|0.65371192|0.82900107|0.80035228
Chad|0.24287093|0.22003631|0.38895422|0.21100554|0.22464809|0.19051033|0.15408842|0.25484195|0.23134966|0.23047845|0.25205883|0.22680777|0.21676257|0.19304463|0.25219795|0.27804032|0.22565043|0.21359386|0.25840169|0.2067761|0.24587449|0.23434585|0.21096557|0.17498112|0.20072256|0.16914299|0.24207701|0.25833395|0.23687123|0.19789071|0.63058966|0.20655559|0.22295889|0.23121038|0.24286711|0.86077464|0.27763504|0.19741146|0.14907396|0.21726413
Chile|0.79830229|0.7794798|0.8744151|0.83641636|0.8449263|0.89631188|0.78569138|0.5454939|0.94795585|0.7599386|0.87834811|0.96643674|0.86908734|0.70301872|0.82612956|0.88421518|0.89815611|0.83234733|0.76804197|0.86531115|0.83795202|0.76328725|0.90758467|0.79988045|0.77924442|0.77862114|0.88922459|0.89176238|0.92173791|0.83964914|0.79343563|0.77587789|0.74117911|0.77189332|0.81045985|0.89336944|0.54444021|0.81525117|0.86789775|0.91479743
China|0.76206875|0.56728756|0.34625024|0.72106671|0.57465124|0.39091343|0.43943566|0.0|0.38269812|0.50077987|0.55166864|0.81546855|0.52144837|0.84983176|0.48089755|0.0091091022|0.44238105|0.51261359|0.0039213975|0.81180608|0.50719601|0.58379245|0.45521569|0.70073926|0.65806723|0.58830601|0.52888143|0.002252887|0.48743409|0.50287372|0.36479998|0.70644921|0.48391956|0.51266772|0.51071215|0.45804614|0.078026891|0.67050934|0.41003597|0.51177347
Chipre|0.37567732|0.53727818|0.24977216|0.33788526|0.36558098|0.60637432|0.2960144|0.39341137|0.35258532|0.36372015|0.40563059|0.34044555|0.35883453|0.63280743|0.4048174|0.39048424|0.37808043|0.32094422|0.4030959|0.4637022|0.35216454|0.35350716|0.31665206|0.56296909|0.50745708|0.53845549|0.38518167|0.42529988|0.36059541|0.59187055|0.39846408|0.47199321|0.35133269|0.38843563|0.35587838|0.27982205|0.43293926|0.2795577|0.57217646|0.31964618
Comoras|0.13681805|0.10986584|0.68799126|0.12482829|0.12315421|0.11064444|0.11641344|0.13095523|0.47861946|0.11996755|0.13478249|0.12307569|0.11585893|0.1034312|0.14252493|0.15772642|0.13202927|0.11132266|0.13462295|0.11128442|0.14088847|0.12523641|0.11960126|0.090244263|0.10899382|0.10990566|0.12851083|0.13490435|0.12947042|0.096595824|0.091595128|0.099867985|0.12049041|0.12031438|0.13326518|0.11250566|0.14956698|0.062040623|0.10510711|0.11884452
Congo|0.25292718|0.23254627|0.28243697|0.21910685|0.23494884|0.1984055|0.20662327|0.26488653|0.23722608|0.23854253|0.26236948|0.48719683|0.2247546|0.20102769|0.26016748|0.28818771|0.2335797|0.22174016|0.26843408|0.21690562|0.25183198|0.24275772|0.21914616|0.17843561|0.21093345|0.32406726|0.25222203|0.2685799|0.24733248|0.33891132|0.26372463|0.21469425|0.23112744|0.24156004|0.24858648|0.31178859|0.28815132|0.32988983|0.19113532|0.22548181
Corea del Norte|0.082979746|0.061876416|0.044688717|0.069798701|0.072785988|0.056469765|0.072419859|0.07268098|0.078707084|0.067334525|0.075404748|0.064933695|0.065766901|0.060102791|0.083557509|0.094541371|0.073228814|0.060590707|0.076399237|0.061626464|0.083208896|0.071160845|0.075453579|0.049341563|0.061240468|0.063463129|0.078788623|0.07355269|0.07171008|0.057531476|0.054259092|0.055894263|0.067423999|0.067501158|0.06984672|0.068932652|0.087094031|0.059462242|0.062285602|0.067816503
Corea del Sur|0.4456338|0.44062525|0.32914308|0.4122377|0.41915333|0.32462889|0.38876188|0.37438062|0.43042034|0.46601197|0.32836428|0.32079986|0.42254034|0.4641583|0.32812783|0.33288231|0.42320916|0.38320461|0.32214856|0.43279684|0.43424132|0.29439163|0.2662285|0.38293135|0.38759357|0.35187209|0.31903657|0.28924677|0.46243018|0.35033709|0.29934222|0.35679504|0.44997546|0.50960702|0.46692607|0.24136962|0.40434423|0.35809988|0.28670067|0.26874152
Costa Rica|0.70027471|0.64283055|0.86447179|0.89173931|0.86476803|0.90512234|0.88257861|0.5533312|0.69349241|0.72611094|0.80216271|0.4540495|0.86349416|0.57474333|0.92612648|0.81357998|0.8523103|0.87750506|0.48973674|0.70438921|0.84570867|0.83150691|0.91048068|0.58719265|0.70357633|0.88330334|0.82471848|0.70112586|0.89408052|0.84495395|0.87102222|0.86838424|0.68062067|0.8465538|0.88387799|0.87954652|0.53947008|0.91286421|0.8969478|0.89969802
Costa de Marfil|0.31285882|0.29858902|0.26775724|0.27452037|0.30124485|0.34112042|0.37706128|0.33145496|0.29725686|0.29815412|0.33098349|0.54422355|0.28829649|0.26450071|0.32577872|0.35330462|0.29888147|0.27974182|0.33939317|0.27964288|0.31697011|0.30728552|0.28189576|0.23484188|0.27653855|0.24775946|0.32180479|0.34342316|0.31486249|0.25859737|0.30480534|0.353351|0.29378456|0.3082321|0.31413606|0.32638764|0.36507314|0.3381311|0.24212994|0.28179017
Croacia|0.39741522|0.38085228|0.65389681|0.57193232|0.38643533|0.30810678|0.32263726|0.44423246|0.72494495|0.80117154|0.43102404|0.39857727|0.36204779|0.49735081|0.3968375|0.48094928|0.4027006|0.44936889|0.44488072|0.35654527|0.37530646|0.37908021|0.57045209|0.60078371|0.56603777|0.2910808|0.41413924|0.46602911|0.38741764|0.30843213|0.35238785|0.32492894|0.35379925|0.41180387|0.39708486|0.29377741|0.47965485|0.30535388|0.40762734|0.33444265
Cuba|0.78261197|0.7680763|0.88124335|0.82223487|0.7804423|0.71413767|0.80113769|0.84077978|0.85590017|0.39899477|0.86259937|0.87976998|0.70211583|0.38516259|0.79615772|0.85360801|0.72120643|0.70712006|1.0|0.62107021|0.65653783|0.72962439|0.72845656|0.35188931|0.76924777|0.81239361|0.57556587|0.85001373|0.79151142|0.71306652|0.82076418|0.73369241|0.83844906|0.47521394|0.782655|0.71265274|1.0|0.7502659|0.71597916|0.88440144
Curazao|0.70621479|0.60058773|0.77205467|0.71736646|0.76402855|0.78680825|0.79789728|0.75228572|0.81835544|0.7090857|0.81751585|0.89061493|0.65976119|0.59663367|0.73582244|0.73223346|0.7166205|0.75345552|0.75157982|0.6319195|0.63067859|0.69173265|0.61550659|0.64766419|0.73679525|0.57979|0.68237436|0.801373|0.76053977|0.76900721|0.72277486|0.80090404|0.80116856|0.80854928|0.71720612|0.72887766|0.74727327|0.74510396|0.63534313|0.80280554
Dinamarca|0.37886453|0.59259731|0.52641094|0.47875661|0.52798581|0.56329852|0.47125924|0.38585588|0.77280939|0.82806176|0.6173498|0.41451508|0.36805305|0.82141268|0.43385258|0.45256615|0.38142198|0.642299|0.39997166|0.67039633|0.68346399|0.57661909|0.50287211|0.44488713|0.62034893|0.5561834|0.39537269|0.4229655|0.3949129|0.49640775|0.56651312|0.54738021|0.57279181|0.58860588|0.39937803|0.46087164|0.42711574|0.49473023|0.31914806|0.59072381
Dominica|0.67591769|0.41241691|0.6262821|0.6640293|0.59707546|0.68642497|0.51394689|0.50113225|0.65292186|0.42911446|0.46848524|0.5107851|0.70547819|0.39497879|0.77853835|0.43495622|0.67618811|0.7470752|0.53281611|0.74906778|0.67528588|0.79925007|0.40761125|0.33706251|0.56991112|0.52671742|0.42648131|0.5059191|0.61812687|0.64681506|0.59960234|0.55857313|0.41349101|0.45441407|0.61267877|0.32136357|0.580832|0.72644901|0.66650605|0.37912968
Ecuador|0.77646446|0.69707358|0.94559956|0.99217415|0.90308267|1.0|1.0|1.0|0.92270136|0.47760928|1.0|0.59153426|0.90099204|0.72513187|1.0|0.93668067|1.0|0.90338635|0.69621325|0.80767345|1.0|0.9521445|0.92257524|0.75209612|0.67630589|1.0|0.90591395|0.8882097|1.0|0.86590701|1.0|0.81419623|0.73162621|0.82482767|0.93471384|0.93884778|0.62796712|1.0|1.0|0.96633881
Egipto|0.47758192|0.18932615|0.29821962|0.47048113|0.42623079|0.39958674|0.35926703|0.22030121|0.20260951|0.19965583|0.21673903|1.0|0.41667756|0.51144713|0.14991648|0.14109012|0.12479632|0.63309169|0.22389661|0.53186691|0.13371001|0.51976848|0.55328369|0.09879794|0.48100859|0.45923117|0.20724216|0.2232035|0.52011025|0.48474443|0.51732731|0.59232163|0.63165653|0.52784508|0.10434762|0.51669806|0.24171293|0.49167502|0.36416283|0.42866546
